pdq,pdqs,bic,aic,hqic,status
"(0, 1, 1)","(0, 1, 1, 12)",835.1837480314265,827.2278118451694,830.2961044336342,ok
"(1, 1, 1)","(0, 1, 1, 12)",838.8076093793221,828.8626891465008,832.6980548820818,ok
"(0, 1, 1)","(1, 1, 1, 12)",839.1212443949055,829.1763241620841,833.0116898976652,ok
"(1, 1, 1)","(1, 1, 1, 12)",842.7571089693233,830.8232046899377,835.4256435726351,ok
"(0, 1, 0)","(0, 1, 1, 12)",857.978466097302,851.9564665416045,854.2852224155529,ok
"(1, 1, 0)","(0, 1, 1, 12)",857.9831947491119,849.953862008182,853.0588698401132,ok
"(1, 1, 0)","(1, 1, 1, 12)",861.8687020895222,851.8320361633599,855.7132959532739,ok
"(0, 1, 0)","(1, 1, 1, 12)",861.9435357274209,853.914202986491,857.0192108184222,ok
"(1, 1, 1)","(1, 1, 0, 12)",866.8092001598991,856.7725342337367,860.6537940236507,ok
"(1, 1, 0)","(1, 1, 0, 12)",869.9980805630412,861.9687478221113,865.0737556540424,ok
